"time","icam_climat","icam_sff","icam_ial","icam_evfc","icam_cef","icam_oe","icam_dadl","icam_nvf","icam_ofai","icam_nvpas","icam_cea","icam_sfp","icam_evfp"
2012,88.706,-21.375,-83.169,54.007,-5.328,21.278,-56.228,-43.109,-24.623,-69.607,9.315,-29.731,-20.167
2012.08333333333,88.995,-21.009,-83.176,53.88,-5.077,21.69,-56.222,-42.555,-24.538,-69.434,9.148,-29.693,-20.105
2012.16666666667,89.65,-19.985,-82.887,52.947,-4.702,22.193,-55.937,-40.577,-24.302,-68.589,9.085,-29.208,-21.46
2012.25,90.605,-18.633,-82.925,52.966,-3.998,23.637,-56.079,-38.404,-23.929,-68.022,9.824,-28.612,-23.338
2012.33333333333,91.286,-17.873,-83.529,54.402,-3.785,24.687,-56.593,-37.85,-23.982,-68.096,11.031,-28.043,-25.058
2012.41666666667,90.669,-17.724,-84.301,57.506,-3.555,26.205,-57.086,-39.139,-24.282,-68.562,12.456,-27.705,-24.925
2012.5,89.7,-18.232,-85.502,61.989,-3.516,27.965,-57.604,-42.458,-25.185,-69.672,13.924,-27.755,-23.368
2012.58333333333,88.071,-19.65,-86.761,66.651,-3.443,29.957,-58.231,-47.49,-26.299,-70.96,15.263,-28.265,-20.512
2012.66666666667,86.62,-21.349,-87.527,69.855,-2.854,31.698,-58.715,-51.935,-27.262,-71.885,16.69,-28.756,-17.937
2012.75,85.614,-22.747,-87.966,71.99,-2.186,33.279,-58.9,-54.872,-28.003,-72.093,17.686,-29.099,-16.478
2012.83333333333,85.11,-23.735,-87.72,73.064,-1.639,34.838,-59.037,-56.63,-28.642,-71.781,18.397,-29.002,-15.934
2012.91666666667,85.033,-24.253,-87.234,73.197,-0.982,35.36,-59.357,-57.191,-29.059,-71.342,18.818,-28.735,-16.692
2013,84.759,-24.696,-86.795,73.827,-0.847,35.129,-59.634,-57.823,-29.671,-71.655,18.615,-28.73,-17.668
2013.08333333333,84.32,-25.099,-86.52,74.668,-1.317,34.321,-59.855,-58.979,-30.452,-72.644,17.963,-28.941,-18.358
2013.16666666667,83.655,-25.405,-86.516,75.278,-1.757,33.43,-60.044,-60.265,-30.993,-74.206,16.959,-29.871,-18.184
2013.25,83.031,-25.514,-86.592,75.376,-2.503,32.257,-60.232,-61.179,-31.401,-75.847,15.886,-31.012,-18.298
