"time","ivv_commerce","ivv_45","ivv_46","ivv_47"
2005,74.07,75.03,79.01,64.89
2005.08333333333,73.97,73.48,79.08,65.11
2005.16666666667,74.27,75.04,78.99,65.55
2005.25,74.55,76.07,79.59,64.99
2005.33333333333,73.88,74.75,78.68,65
2005.41666666667,73.84,75.95,78.16,65.25
2005.5,75.09,76.65,80.54,64.84
2005.58333333333,75,76.18,80.09,65.49
2005.66666666667,75.41,76.2,80.63,65.83
2005.75,75.13,74.66,80.55,65.73
2005.83333333333,76.64,77.52,82.09,66.65
2005.91666666667,75.58,77.83,80,66.77
2006,75.49,76.3,80.28,66.61
2006.08333333333,75.63,76.97,80.25,66.83
2006.16666666667,75.72,77.21,80.46,66.67
2006.25,76.33,78.46,80.96,67.2
2006.33333333333,76.97,78.59,82.09,67.23
2006.41666666667,76.66,77.87,81.47,67.58
2006.5,77.17,78.18,82.1,67.96
2006.58333333333,76.35,77.11,80.96,67.79
2006.66666666667,76.77,77.76,81.64,67.69
2006.75,76.86,77.89,81.57,68.02
2006.83333333333,77.42,78.37,82,68.84
2006.91666666667,77.75,79.41,82.65,68.35
2007,77.72,78.26,82.65,68.71
2007.08333333333,78.57,78.93,83.71,69.28
2007.16666666667,78.99,79.84,83.73,70.16
2007.25,78.43,78.04,83.09,70.24
2007.33333333333,79.39,80.43,84.95,69.1
2007.41666666667,78.92,80.68,83.24,70.42
2007.5,78.9,81.27,82.62,71.18
2007.58333333333,78.96,80.57,83.24,70.61
2007.66666666667,78.5,81.61,82.32,70.32
2007.75,79.84,81.27,84.4,71.08
2007.83333333333,78.97,80.15,83.17,70.91
2007.91666666667,79.38,80.46,83.91,70.82
2008,80.68,81.82,85.78,71.14
2008.08333333333,80.6,81.34,85.81,71.03
2008.16666666667,79.76,80.08,85.07,70.18
2008.25,80.13,80.69,85.48,70.37
2008.33333333333,79.67,80.59,84.28,71.03
2008.41666666667,79.72,78.43,85.07,70.72
2008.5,79.29,80.43,84.05,70.29
2008.58333333333,80.1,78.19,85.62,71.06
2008.66666666667,80.33,77.89,85.95,71.33
2008.75,79.31,77.3,84.71,70.49
2008.83333333333,78.78,73.82,84.13,71.23
2008.91666666667,79.54,74.49,85.24,71.43
2009,78.84,73.46,83.89,71.93
2009.08333333333,77.91,73.73,82.91,70.62
2009.16666666667,77.76,73.46,82.85,70.39
2009.25,77.76,73.54,82.34,71.18
2009.33333333333,77.99,74.22,82.76,70.94
2009.41666666667,78.59,74.82,83.04,72.05
2009.5,78.14,76.18,82.51,71.05
2009.58333333333,78.3,76.73,82.66,71.07
2009.66666666667,78.64,76.63,83.04,71.52
2009.75,78.69,77.23,82.73,71.94
2009.83333333333,78.58,78,82.65,71.42
2009.91666666667,79.62,77.54,83.9,72.72
2010,78.42,77.63,82.31,71.66
2010.08333333333,78.98,77.3,83.05,72.28
2010.16666666667,79.59,76.97,83.77,73.06
2010.25,79.9,76.99,84.15,73.36
2010.33333333333,80.45,77.66,84.65,73.93
2010.41666666667,80.07,77.66,84.66,72.78
2010.5,80.94,76.75,85.6,74.22
2010.58333333333,80.39,78.55,84.27,74.03
2010.66666666667,81.23,77.63,85.75,74.5
2010.75,81.44,78.13,86.2,74.17
2010.83333333333,82.64,80.63,87.22,75.17
2010.91666666667,81.64,79.73,85.38,75.53
2011,82.57,82,86.56,75.52
2011.08333333333,83.44,82.1,87.62,76.37
2011.16666666667,83.11,82.86,87.02,76.04
2011.25,83.81,81.43,88.18,76.84
2011.33333333333,82.11,80.36,86.18,75.39
2011.41666666667,83.02,80.75,87.3,76.14
2011.5,83.67,80.44,88.68,75.95
2011.58333333333,83.05,80.33,87.66,75.79
2011.66666666667,83.37,81.61,87.55,76.46
2011.75,83.87,81.54,88.42,76.56
2011.83333333333,84.53,83.2,89.08,76.84
2011.91666666667,82.85,81.28,86.75,76.36
2012,83.49,80.85,87.63,76.98
2012.08333333333,83.54,80.89,87.28,77.73
2012.16666666667,84,81.06,87.71,78.35
2012.25,82.58,79.6,86.61,76.4
2012.33333333333,83.89,79.8,88.39,77.37
2012.41666666667,84.13,80.93,88.1,78.12
2012.5,83.91,78.45,88.08,78.46
2012.58333333333,83.62,78.73,88.02,77.56
