"time","creation_ent_ens","creation_ent_be","creation_ent_cz","creation_ent_fz","creation_ent_gi","creation_ent_g","creation_ent_h","creation_ent_i","creation_ent_jz","creation_ent_kz","creation_ent_lz","creation_ent_mn","creation_ent_oq","creation_ent_ru"
2012,47971.9131180481,2330.39447389052,1932.08677240643,7247.27478898015,12750.8386215972,9723.48462614392,808.687286039886,2218.66670941341,2367.23281755497,1149.57406262382,1629.09702618866,9725.0097402966,5160.70616851623,5611.78541839995
2012.08333333333,47817.2829451491,2340.71494884413,1941.65724171369,7233.64545713472,12665.1463232792,9647.34229212208,819.134207513677,2198.66982364341,2364.28522367954,1150.74884638005,1556.91732826734,9719.0431582503,5145.56519882242,5641.21646049148
2012.16666666667,47694.6608574028,2353.03859494513,1953.29173873893,7203.38825111911,12597.6396131054,9584.15952339596,833.179997974853,2180.30009173462,2367.74381281583,1162.1853408982,1485.35424795971,9737.30058829917,5126.80046252216,5661.20994573803
2012.25,47632.8905117342,2368.27004879528,1968.24116788281,7175.36857451942,12570.4391084849,9551.92725171887,852.179873695834,2166.33198307018,2371.84161192305,1181.88101736178,1422.12226370856,9761.01040010325,5110.9828789828,5670.97460785511
2012.33333333333,47683.0939973519,2384.10846252214,1983.86910601611,7159.36442772714,12605.1922223724,9568.47078615535,875.743335367917,2160.97810084915,2381.07244612011,1209.43290718484,1375.79349158305,9800.79220881978,5101.11251959715,5666.22531142527
2012.41666666667,47806.5942395143,2396.40121614531,1995.12244431764,7173.65640652477,12686.3619733456,9623.64858704373,897.467526638325,2165.24585966358,2386.41021331413,1237.35343633756,1347.90382358119,9847.16349623413,5099.15341810225,5632.19025592933
2012.5,47839.0218504406,2392.17230292927,1990.78977137414,7198.0818647297,12753.9938675875,9673.71445582282,907.270421528935,2173.00899023577,2374.47910216718,1261.72029054537,1330.12681590855,9860.4367111217,5100.00613241248,5568.00476303882
2012.58333333333,47611.1756370564,2366.04054536794,1967.24601095499,7197.84895213146,12743.4368301977,9663.01327697071,899.844784472493,2180.57876875447,2339.63985472732,1277.50601333651,1310.5705525125,9801.31924267683,5091.38818766373,5483.42545844249
2012.66666666667,47114.8414503453,2321.94927363658,1929.00762086211,7144.7249940462,12649.8820552513,9586.09567754227,878.5407239819,2185.24565372708,2291.05989521315,1284.834663015,1282.53971183615,9672.18843772327,5073.11437246964,5394.54804715408
2012.75,46526.104727316,2276.33275779948,1889.25071445582,7037.75059537985,12554.1119314122,9505.80751369374,854.080376280067,2194.22404143844,2243.84805906168,1290.19385567992,1255.89146225292,9504.07477970945,5058.52947130269,5305.37181471779
2012.83333333333,46073.1621219338,2245.08591331269,1863.8560371517,6890.80233388902,12532.8134674923,9490.87788759228,835.558287687545,2206.37729221243,2212.31727792332,1299.86282448202,1237.18075732317,9355.51107406525,5075.35544177185,5224.23303167421
2012.91666666667,45969.7262443439,2238.66164562991,1860.0572755418,6752.2443438914,12628.6344367707,9575.74410573946,832.031197904263,2220.85913312693,2203.18028101929,1311.33460347702,1231.58763991427,9284.8354965468,5141.53090021434,5177.71689688021
2013,46254.3661586092,2257.27726839724,1876.5987735175,6661.63217432722,12837.5388187664,9751.16676589664,848.358359133127,2238.0136937366,2215.21659919028,1319.22576804001,1233.79399857109,9308.71386044296,5253.17021909979,5167.79745177423
2013.08333333333,46734.1621219338,2291.8596689688,1901.56108597285,6623.82716122886,13084.0010121457,9954.40456060967,878.166408668731,2251.43004286735,2237.15164324839,1317.75916884973,1236.89539175994,9398.48636580138,5375.78697308883,5168.3947368421
2013.16666666667,47181.7366039533,2333.44177185044,1926.26071683734,6640.36240771612,13297.1029411765,10125.1092522029,911.868718742558,2260.12497023101,2247.89693974756,1308.63009049774,1234.91670635866,9493.37913788998,5470.4963681829,5155.51024053346
2013.25,47411.8229340319,2365.10329840438,1941.73446058585,6675.97165991903,13434.9011074065,10226.3462729221,944.786794474875,2263.76804000953,2241.87395808526,1299.46981424149,1226.36276494403,9538.645153608,5505.06698023339,5124.42819718981
2013.33333333333,47395.1508692546,2378.6326506311,1944.57454155751,6686.42033817576,13498.6261609907,10260.7052869731,972.50750178614,2265.41337223148,2230.09841628959,1298.67920933556,1214.07793522267,9529.67307692308,5475.14723743749,5083.79584424863
2013.41666666667,47254.157358895,2377.58942605382,1941.38276970707,6666.41313407954,13522.6866515837,10262.9688020957,990.182126696832,2269.53572279114,2223.0750178614,1304.588711598,1204.50077399381,9491.75517980472,5423.00494165277,5040.54352226721
2013.5,47152.4896999286,2375.92319599905,1942.02131459871,6644.31311026435,13534.8862229102,10259.3206715885,997.634734460586,2277.93081686116,2224.08877113599,1317.60978804477,1204.8241843296,9456.96904024768,5395.25172660157,4998.62366039533
2013.58333333333,47218.064539176,2388.80721600381,1953.1721838533,6633.62401762324,13553.8646701596,10263.2487497023,1001.37401762324,2289.24190283401,2230.26041914742,1340.64027149321,1218.42456537271,9459.32358894975,5420.05834722553,4973.06144320076
2013.66666666667,47425.2352941177,2420.07192188616,1977.27000476304,6654.38449630864,13563.100678733,10254.907061205,1007.85300071446,2300.34061681353,2230.47076684925,1367.34645153608,1245.45028578233,9496.93260300071,5477.76035960943,4969.717730412
2013.75,47684.5567396999,2463.86157418433,2014.36407477971,6702.76119314122,13550.5192903072,10212.9450464396,1023.75750178614,2313.81674208145,2218.2963800905,1389.80572755418,1280.62556561086,9557.4508216242,5533.15551321743,4988.08067396999
2013.83333333333,47895.9198618719,2508.98035246487,2052.82323172184,6760.395153608,13524.6681948083,10145.6937961419,1048.03131698023,2330.94308168612,2191.47356513456,1404.83597285068,1316.133067397,9617.42212431532,5556.62092164801,5015.39050964515
2013.91666666667,48084.5650750179,2554.08031674208,2085.92254108121,6817.81227673256,13525.4459395094,10093.2586330079,1074.7221957609,2357.46511074065,2162.35895451298,1414.28994998809,1348.4749940462,9676.81656346749,5540.58775899024,5044.69832102882
2014,48210.9908311503,2592.09317694689,2109.53834246249,6849.9286139557,13533.1380090498,10053.741962372,1092.07019528459,2387.32585139319,2141.59109311741,1419.65414384377,1370.01030007145,9734.96862348178,5502.19373660395,5067.41313407954
2014.08333333333,48249.6283638962,2620.91349130745,2121.99702310074,6833.35175041677,13530.6987377947,10014.7393427006,1095.9826744463,2419.97672064777,2134.79536794475,1420.60871636104,1370.69189092641,9787.88884258157,5471.77214813051,5078.90741843296
2014.16666666667,48305.6834365325,2641.13961657537,2127.18170993094,6772.53768754465,13542.8675279829,9990.38241247916,1096.58126934985,2455.90384615385,2146.65152417242,1419.57472017147,1353.04495117885,9853.51202667302,5489.90462014765,5086.45076208621
2014.25,48437.7715527507,2653.39854727316,2126.47755417957,6680.53977137414,13586.2347582758,9987.91194331984,1105.20558466301,2493.11723029293,2168.49279590379,1418.69284353417,1323.0903191236,9942.53512741129,5572.68153131698,5092.10585853775
2014.33333333333,48564.0925220291,2654.62830435818,2121.96040723982,6569.33037628007,13623.2170159562,9990.57281495594,1126.81428202575,2524.00827577995,2189.45064301024,1420.72023100738,1289.22678018576,10034.4363538938,5691.5261967135,5091.55662062396
