"time","bc_comd","compre","ossk","tcapa","tcapre"
2012,90.675,-17.4071895424837,20.3392156862745,-15.3369281045752,-12.3488562091503
2012.08333333333,91.595125,-16.632,19.705,-14.703375,-10.67175
2012.16666666667,92.380235042735,-15.992094017094,18.7514957264957,-13.8361111111111,-9.56752136752137
2012.25,92.9099700897308,-15.4756729810568,17.7120638085743,-13.4927218344965,-8.63599202392821
2012.33333333333,92.6905222437137,-15.4392649903288,16.7390715667311,-14.4457446808511,-8.9284332688588
2012.41666666667,92.3161635832522,-15.4232716650438,15.236611489776,-15.1861733203505,-9.57244401168452
2012.5,91.4745,-15.7835,13.8165,-16.4045,-10.767
2012.58333333333,90.0329,-16.9367,12.7212,-17.3701,-12.4254
2012.66666666667,88.6415,-18.0953,12.0276,-18.5493,-14.0006
2012.75,88.0005,-18.6674,11.4694,-19.355,-14.7127
2012.83333333333,87.6052,-19.185,10.9993,-19.9982,-15.5832
2012.91666666667,87.4447,-19.4359,10.5863,-21.2559,-16.6162
2013,87.3521,-19.4183,10.0758,-22.9461,-17.5742
2013.08333333333,87.1288,-19.3506,9.809,-25.3182,-18.7791
2013.16666666667,86.5806,-19.6746,9.4977,-26.7685,-19.8937
2013.25,86.3313,-19.6908,9.5947,-27.9007,-19.9798
2013.33333333333,86.4406,-19.6376,9.6743,-27.4626,-19.2189
2013.41666666667,87.6183,-18.6047,9.7207,-25.5582,-17.4768
2013.5,89.494,-17.1207,9.5189,-22.7349,-14.612
2013.58333333333,91.6567,-15.5413,9.2484,-19.0391,-11.854
2013.66666666667,93.7575,-13.9314,9.0408,-15.745,-9.6503
2013.75,94.9925,-13.15,8.92,-13.0597,-8.5034
2013.83333333333,95.4815,-12.97,8.9188,-12.0158,-8.6068
2013.91666666667,95.6546,-12.9903,8.7439,-12.0072,-8.8647
2014,95.7721,-12.8655,8.3334,-12.8019,-9.752
2014.08333333333,95.9121,-12.6928,7.7466,-13.8475,-10.1066
2014.16666666667,96.369,-12.0619,6.769,-14.4116,-10.0351
2014.25,96.5715,-11.6716,5.9479,-14.9556,-9.734
2014.33333333333,96.1969,-11.8763,5.5942,-15.1959,-9.914
2014.41666666667,95.2036,-12.558,5.3042,-15.7533,-10.7852
2014.5,93.7897,-13.6695,5.716,-16.8026,-11.1705
2014.58333333333,92.3673,-14.8355,6.688,-18.453,-12.0331
2014.66666666667,91.8482,-15.1739,7.8562,-19.2295,-12.1108
2014.75,92.414,-14.677,9.421,-18.5644,-10.9818
2014.83333333333,94.4292,-12.9158,10.7407,-16.308,-9.0127
2014.91666666667,97.1771,-10.6154,11.2842,-12.9464,-6.5515
2015,100.3229,-7.8839,10.9804,-9.8357,-4.0801
2015.08333333333,103.1254,-5.4711,10.0979,-7.0553,-1.5158
2015.16666666667,105.0321,-3.8377,8.7433,-5.057,0.1694
2015.25,106.0714,-2.9244,7.614,-4.144,1.3397
2015.33333333333,106.6211,-2.5253,6.8494,-3.4072,2.35
2015.41666666667,107.2046,-2.1476,6.4687,-1.5297,3.2523
2015.5,107.3873,-2.1535,6.7167,-0.00139999999999996,4.2614
2015.58333333333,107.8629,-1.97,6.972,1.2319,4.7784
2015.66666666667,107.9558,-2.1444,7.3686,1.4854,5.2375
2015.75,107.7693,-2.4926,8.3254,-0.0349000000000002,4.8964
2015.83333333333,106.9286,-3.489,9.5411,-2.1264,3.7284
2015.91666666667,105.9774,-4.6579,10.796,-4.177,2.3587
2016,105.3239,-5.5589,11.7935,-5.3734,1.0964
2016.08333333333,104.7827,-6.3252,12.4873,-5.4673,0.0617999999999999
2016.16666666667,104.9345,-6.3011,12.7111,-3.8095,-0.1638
2016.25,105.1539,-5.96,12.5185,-2.6286,-0.2033
2016.33333333333,105.6072,-5.287,12.3022,-1.9343,-0.1446
2016.41666666667,105.4446,-5.0378,12.439,-2.4782,-0.2969
2016.5,105.0586,-4.8619,13.1113,-4.2511,-0.2944
2016.58333333333,104.7096,-5.1036,13.7115,-5.7517,-0.0624
2016.66666666667,104.5301,-5.3552,14.2108,-6.6692,0.2805
2016.75,105.0753,-5.09,14.3223,-6.2318,1.2018
2016.83333333333,106.0402,-4.4815,14.234,-4.9786,2.407
2016.91666666667,107.447,-3.3375,13.3709,-3.1642,3.599
2017,108.5961,-2.3184,12.1732,-2.4059,4.2216
2017.08333333333,109.2429,-1.3907,11.5499,-2.3964,4.7993
2017.16666666667,109.3814,-1.1621,10.9572,-2.9088,4.9514
2017.25,109.2742,-1.2904,10.6243,-3.9475,4.8815
2017.33333333333,109.5092,-1.2959,10.5215,-3.9742,4.7464
2017.41666666667,110.1948,-1.1131,10.7569,-3.5477,4.9725
2017.5,111.5133,-0.1081,10.818,-2.5087,5.5969
2017.58333333333,113.2387,1.1566,11.0091,-1.9035,6.3611
2017.66666666667,115.1495,3.05,11.1881,-0.9058,7.6604
